Well,Test type,Bottle number,Top depth,Base depth,Fluid type,Test time ,Received date,NPDID wellbore
24/6-2,DST ,TEST1     ,2165.75,2156.75, ,1998-06-30 16:00:00,1998-07-13 00:00:00,3397
24/6-4,DST ,          ,0.0,0.0, ,,2011-08-06 00:00:00,4745
24/9-3,DST ,1         ,1796.0,1805.0,OIL,1981-03-21 00:00:00,1991-07-22 00:00:00,346
24/9-3,DST ,          ,1764.4,1782.2, ,1981-04-01 00:00:00,1991-07-22 00:00:00,346
24/9-7,DST ,          ,0.0,0.0, ,,2011-08-06 00:00:00,4910
24/9-7 A,DST ,          ,1996.0,0.0,OIL,2005-02-09 00:00:00,2011-08-06 00:00:00,4919
25/10-11,DST ,          ,0.0,0.0,OIL,,,6563
25/10-11,DST ,          ,0.0,0.0,OIL,,,6563
25/10-11,MDT ,          ,0.0,4272.5,CONDENSATE,,2012-01-30 00:00:00,6563
25/10-11,MDT ,          ,0.0,4409.5,CONDENSATE,,2012-01-30 00:00:00,6563
25/10-11,MDT ,          ,0.0,4032.0,CONDENSATE,,2012-01-30 00:00:00,6563
25/10-2 R,FIT ,FIT-1     ,2697.5,0.0, ,1972-07-02 00:24:00,,511
25/10-5,DST ,DST1      ,1740.0,1732.0, ,1981-07-11 00:00:00,1991-06-21 00:00:00,365
25/10-5,DST ,DST2      ,1763.0,1756.0, ,1981-07-12 00:00:00,1991-06-21 00:00:00,365
25/10-8,DST ,DST1      ,2392.0,2398.0, ,1997-03-30 09:20:00,1997-11-13 00:00:00,2955
25/1-1,DST ,          ,0.0,0.0,WATER,1971-07-06 00:00:00,1995-08-09 00:00:00,190
25/1-11 R,DST ,          ,2119.9,0.0,CONDENSATE,,2010-04-23 00:00:00,6368
25/1-11 R,FMT ,          ,2158.0,0.0,OIL,,2011-12-13 00:00:00,6368
25/11-14 S,DST ,TEST1     ,1992.2,2015.2, ,1990-11-23 21:45:00,1990-12-04 00:00:00,1672
25/11-15,DST ,DST1      ,1736.0,1775.0, ,1991-12-18 00:00:00,1992-01-10 00:00:00,1872
25/11-18,DST ,          ,0.0,0.0, ,1994-10-14 00:00:00,1994-10-18 00:00:00,2358
